t 1 
v 0 1
v 1 1
v 2 1
v 3 1
v 4 1
v 5 1
v 6 1
v 7 1
v 8 1
v 9 1
v 10 1
v 11 1
v 12 1
v 13 1
v 14 1
v 15 1
v 16 1
v 17 1
v 18 1
v 19 1
e 0 8 40
e 0 9 17
e 0 10 6
e 0 11 44
e 0 14 20
e 0 16 31
e 0 18 37
e 1 8 31
e 1 9 32
e 1 10 29
e 1 11 10
e 1 12 4
e 1 13 15
e 1 15 9
e 1 16 28
e 1 19 20
e 2 8 45
e 2 9 25
e 2 10 1
e 3 8 14
e 3 9 31
e 3 10 5
e 3 11 35
e 3 12 18
e 3 13 6
e 3 14 8
e 3 15 28
e 3 16 43
e 3 19 47
e 4 8 16
e 4 9 35
e 4 10 14
e 4 11 4
e 4 12 1
e 4 13 21
e 4 14 48
e 4 15 38
e 4 16 2
e 5 8 25
e 5 9 14
e 5 12 46
e 5 18 25
e 6 8 19
e 6 14 9
e 7 8 17
e 7 9 15
e 7 10 32
e 7 11 17
e 7 13 21
e 7 16 45
e 7 17 11
e 7 18 37
e 8 9 30
e 8 10 17
e 8 11 38
e 8 12 1
e 8 13 23
e 8 15 46
e 8 17 3
e 8 18 38
e 8 19 37
e 9 10 38
e 9 11 39
e 9 12 15
e 9 13 39
e 9 15 20
e 9 16 27
e 9 17 10
e 9 18 36
e 9 19 37
e 10 11 21
e 10 12 20
e 10 14 29
e 10 16 31
e 10 18 43
e 11 12 37
e 11 13 3
e 11 14 21
e 11 15 11
e 11 17 4
e 11 18 14
e 12 13 10
e 12 14 22
e 12 15 44
e 12 16 25
e 12 19 8
e 13 14 21
e 13 17 9
e 13 18 41
e 13 19 48
e 14 15 17
e 14 17 44
e 14 19 44
e 15 17 21
e 16 17 34
e 16 19 48
